City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
227,Morgan City,US,29.6994,-91.2068,89.02,68,100,5.82,overcast clouds
228,Norman Wells,CA,65.282,-126.8329,60.84,44,75,10.36,broken clouds
229,Cururupu,BR,-1.8283,-44.8683,74.07,93,50,3.31,scattered clouds
230,Fukue,JP,32.6881,128.8419,72.0,80,0,13.94,clear sky
231,Santa Fe,AR,-31.6333,-60.7,57.99,74,12,3.0,few clouds
232,Belaya Gora,RU,68.5333,146.4167,71.89,33,3,4.43,clear sky
233,Yellowknife,CA,62.456,-114.3525,64.92,42,20,19.57,few clouds
234,Otane,NZ,-39.8833,176.6333,51.01,73,96,7.65,overcast clouds
235,Landerneau,FR,48.4525,-4.2525,56.16,90,0,8.05,clear sky
236,Spirit River,CA,55.7833,-118.8361,81.12,50,63,8.75,broken clouds
237,Mantua,IT,45.1667,10.7833,76.73,72,5,3.06,clear sky
238,Balykshi,KZ,47.0667,51.8667,78.8,25,0,8.95,clear sky
239,Hobara,JP,37.8167,140.55,72.3,72,100,2.77,overcast clouds
240,Shahreza,IR,32.0339,51.8794,66.76,12,0,2.59,clear sky
241,Buala,SB,-8.145,159.5921,83.03,76,56,12.17,moderate rain
242,La Palma,US,33.8464,-118.0467,97.81,54,75,8.99,broken clouds
243,Road Town,VG,18.4167,-64.6167,82.49,74,40,14.97,scattered clouds
244,Khasan,RU,42.4308,130.6434,61.34,76,1,3.4,clear sky
245,Noyabrsk,RU,63.1994,75.4507,44.58,72,100,8.7,overcast clouds
246,Pangnirtung,CA,66.1451,-65.7125,53.6,43,90,23.02,light rain
247,Richards Bay,ZA,-28.783,32.0377,60.12,55,6,7.27,clear sky
248,Tefe,BR,-3.3542,-64.7114,80.71,83,20,2.3,few clouds
249,Komsomolskiy,UZ,40.4272,71.7189,77.72,22,0,13.8,clear sky
250,Elesbao Veloso,BR,-6.2019,-42.1403,85.55,40,49,6.55,scattered clouds
251,Mirabad,AF,30.4362,61.8383,84.24,16,0,19.71,clear sky
252,Tiznit,MA,29.5833,-9.5,60.53,86,56,5.21,broken clouds
253,Thinadhoo,MV,0.5333,72.9333,82.29,73,90,9.53,overcast clouds
254,Iqaluit,CA,63.7506,-68.5145,38.93,100,90,20.0,light rain
255,Kahului,US,20.8947,-156.47,83.97,78,85,14.0,overcast clouds
256,Port Lincoln,AU,-34.7333,135.8667,51.6,81,33,20.02,scattered clouds
257,Sal Rei,CV,16.1833,-22.9167,72.16,85,79,14.05,broken clouds
258,Linjiang,CN,41.8069,126.9078,60.55,92,93,0.4,overcast clouds
259,Saint-Paul,RE,-21.0096,55.2707,63.73,80,20,3.0,few clouds
260,Batemans Bay,AU,-35.7167,150.1833,52.92,78,100,5.68,overcast clouds
261,Shache,CN,38.4167,77.2406,70.75,22,76,11.97,broken clouds
262,Pevek,RU,69.7008,170.3133,38.98,74,97,4.16,overcast clouds
263,Athabasca,CA,54.7169,-113.2854,83.89,42,55,14.88,broken clouds
264,Den Helder,NL,52.9599,4.7593,57.18,65,90,10.0,overcast clouds
265,Rudbar,AF,30.15,62.6,79.65,18,0,7.78,clear sky
266,Caravelas,BR,-17.7125,-39.2481,71.28,81,70,5.44,broken clouds
267,Hokitika,NZ,-42.7167,170.9667,50.76,56,0,2.42,clear sky
268,Labuhan,ID,-6.8844,112.2051,76.28,90,90,6.58,overcast clouds
269,Noumea,NC,-22.2763,166.4572,73.0,99,50,14.43,scattered clouds
270,East London,ZA,-33.0153,27.9116,68.18,72,54,6.44,broken clouds
271,Saint-Augustin,CA,51.226,-58.6502,57.67,98,100,8.34,overcast clouds
272,Bossangoa,CF,6.4926,17.4552,69.49,93,74,3.78,broken clouds
273,Mungwi,ZM,-10.1732,31.3694,53.83,79,63,4.76,broken clouds
274,Santa Maria,BR,-29.6842,-53.8069,56.5,100,90,8.05,overcast clouds
275,Port Stanley,FK,-51.7,-57.85,40.15,80,99,16.58,overcast clouds
276,Cucuta,CO,7.8833,-72.5053,82.35,65,40,4.61,scattered clouds
277,Ballina,AU,-28.8667,153.5667,57.78,96,100,4.61,overcast clouds
278,Guayaramerin,BO,-10.8368,-65.3614,79.57,62,92,1.14,overcast clouds
279,Egvekinot,RU,66.3167,-179.1667,47.39,54,100,5.99,overcast clouds
280,Itoman,JP,26.1247,127.6694,73.78,94,75,8.05,light rain
281,Bowen,AU,-20.0167,148.2333,64.62,66,77,14.16,broken clouds
282,Vrangel,RU,42.7297,133.0839,60.4,81,6,1.19,clear sky
283,Sokolo,ML,14.7328,-6.1219,79.77,57,98,23.49,overcast clouds
284,Heishan,CN,41.6892,122.1128,72.37,57,0,6.53,clear sky
285,Bambous Virieux,MU,-20.3428,57.7575,68.25,83,75,10.36,light rain
286,Belyy Yar,RU,53.6039,91.3903,55.29,94,75,2.24,moderate rain
287,Hudiksvall,SE,61.729,17.1036,55.53,81,100,4.72,overcast clouds
288,Garowe,SO,8.4054,48.4845,75.87,66,74,23.0,broken clouds
289,Kyzyl-Suu,KG,42.3414,78.0056,52.21,70,55,4.5,broken clouds
290,Kulhudhuffushi,MV,6.6221,73.07,81.57,79,100,16.04,overcast clouds
291,Bisira,PA,8.5196,-81.7115,64.0,92,90,0.67,overcast clouds
292,Port-Gentil,GA,-0.7193,8.7815,76.96,88,75,5.75,light rain
293,Mehamn,NO,71.0357,27.8492,44.01,92,100,18.54,overcast clouds
294,Debica,PL,50.0515,21.4114,71.65,92,91,1.99,overcast clouds
295,Praia,CV,14.9215,-23.5087,75.74,53,0,13.8,clear sky
296,Amahai,ID,-3.3333,128.9167,79.23,82,94,3.24,overcast clouds
297,Asfi,MA,32.2994,-9.2372,66.04,77,7,19.15,clear sky
298,Narsaq,GL,60.9167,-46.05,44.13,85,26,4.54,scattered clouds
299,Coahuayana,MX,18.7333,-103.6833,83.05,78,82,4.45,broken clouds
300,Bunia,CD,1.5667,30.25,62.53,91,59,2.95,broken clouds
301,Marshall,US,34.3834,-86.3333,80.96,55,1,3.0,clear sky
302,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,59.59,59,75,2.24,broken clouds
303,Longyearbyen,SJ,78.2186,15.6401,39.04,75,75,10.36,broken clouds
304,Chuy,UY,-33.6971,-53.4616,54.7,84,66,9.33,broken clouds
305,Marsh Harbour,BS,26.5412,-77.0636,82.42,77,74,15.48,broken clouds
306,Batagay-Alyta,RU,67.8006,130.4114,72.61,32,90,2.95,overcast clouds
307,Bilma,NE,18.6853,12.9164,90.05,19,35,8.99,scattered clouds
308,Caltagirone,IT,37.2368,14.5126,80.83,32,33,1.01,scattered clouds
309,Gigmoto,PH,13.7796,124.39,82.36,78,100,5.77,overcast clouds
310,Rosarito,MX,32.3333,-117.0333,73.83,73,75,13.18,broken clouds
311,Whyalla,AU,-33.0333,137.5833,51.69,93,90,11.5,overcast clouds
312,Angleton,US,29.1694,-95.4319,94.08,69,50,8.34,scattered clouds
313,Adrar,MR,20.5022,-10.0711,90.03,16,9,15.95,clear sky
314,Luzhou,CN,28.8724,105.4405,75.79,79,82,0.98,broken clouds
315,Sorland,NO,67.667,12.6934,49.24,78,48,7.18,scattered clouds
316,Leninskoye,KZ,41.7589,69.3864,65.98,34,38,3.56,scattered clouds
317,Cochrane,CA,51.1834,-114.4687,89.42,24,1,20.71,clear sky
318,Losino-Petrovskiy,RU,55.8696,38.2006,73.99,81,11,3.62,few clouds
319,Krasnoselkup,RU,65.7,82.4667,41.13,92,100,8.86,overcast clouds
320,Krasnogvardeyets,RU,52.6804,52.3635,70.41,74,4,4.36,clear sky
321,Kungurtug,RU,50.5994,97.5228,54.5,71,46,2.98,scattered clouds
322,Novo Aripuana,BR,-5.1206,-60.3797,78.26,72,62,1.43,broken clouds
323,Ulladulla,AU,-35.35,150.4667,57.87,78,100,6.38,moderate rain
324,Chumikan,RU,54.7183,135.315,43.79,83,95,7.63,overcast clouds
325,Lala,PH,7.9745,123.7458,76.55,92,56,0.04,broken clouds
326,Dunedin,NZ,-45.8742,170.5036,50.81,56,42,1.99,scattered clouds
327,Roebourne,AU,-20.7833,117.1333,56.23,52,55,14.32,broken clouds
328,Praia Da Vitoria,PT,38.7333,-27.0667,66.76,72,75,3.98,broken clouds
329,Masunga,BW,-20.6246,27.4488,50.86,61,12,7.2,few clouds
330,Valparaiso,CL,-33.0393,-71.6273,61.72,79,0,11.5,light rain
331,Ovalle,CL,-30.5983,-71.2003,56.62,55,59,3.04,broken clouds
332,Naukot,PK,24.8587,69.4024,82.99,71,1,14.99,clear sky
333,Bara,NG,10.3744,10.7288,73.83,84,92,4.85,overcast clouds
334,Hay River,CA,60.8156,-115.7999,66.18,55,75,12.66,light rain
335,Hamilton,US,39.1834,-84.5333,71.62,42,5,1.01,clear sky
336,Aksu,CN,41.1231,80.2644,67.46,44,78,7.09,broken clouds
337,Moron,AR,-34.6534,-58.6198,57.97,85,8,3.0,clear sky
338,The Valley,AI,18.217,-63.0578,82.54,65,20,16.11,few clouds
339,Cockburn Town,TC,21.4612,-71.1419,84.16,65,40,16.11,scattered clouds
340,Necochea,AR,-38.5473,-58.7368,48.04,87,76,11.1,broken clouds
